Date,Open,High,Low,Close,Adj Close,Volume
2019-06-17,45.840000,46.500000,45.660000,46.250000,45.436672,6233700
2019-06-18,46.500000,47.630001,46.139999,46.500000,45.682274,5934700
2019-06-19,46.740002,47.849998,45.810001,47.849998,47.008526,3506500
2019-06-21,47.650002,47.930000,46.459999,46.980000,46.153831,7090200
2019-06-24,47.000000,47.400002,46.320000,47.400002,46.566448,2820300
2019-06-25,47.299999,47.410000,46.230000,46.230000,45.417023,2823500
2019-06-26,46.299999,46.990002,46.299999,46.639999,45.896900,3629700
2019-06-27,46.650002,47.169998,45.759998,46.860001,46.113396,3066400
2019-06-28,46.980000,47.419998,46.549999,47.160000,46.408619,3131000
2019-07-01,47.490002,47.490002,46.160000,46.430000,45.690247,4183500
2019-07-02,46.549999,46.970001,46.290001,46.720001,45.975632,2602100
2019-07-03,46.150002,47.630001,46.130001,47.110001,46.359413,2541600
2019-07-04,47.599998,48.049999,47.029999,47.700001,46.940014,2253300
2019-07-05,47.310001,48.580002,47.310001,48.500000,47.727264,3126800
2019-07-08,48.900002,48.970001,48.049999,48.070000,47.304119,3418500
2019-07-10,48.000000,49.560001,47.439999,48.840000,48.061848,7686000
2019-07-11,49.000000,49.450001,48.029999,48.450001,47.678062,2605600
2019-07-12,48.980000,48.980000,47.299999,47.540001,46.782562,2419300
2019-07-15,47.820000,47.980000,47.110001,47.840000,47.077782,2766900
2019-07-16,47.950001,48.220001,47.549999,47.990002,47.225395,1972800
2019-07-17,48.000000,49.029999,48.000000,48.250000,47.481247,4435000
2019-07-18,48.500000,48.810001,48.000000,48.599998,47.825672,2999900
2019-07-19,48.299999,48.689999,47.150002,47.150002,46.398781,4850900
2019-07-22,47.119999,47.689999,46.849998,47.549999,46.792408,3999700
2019-07-23,47.549999,47.599998,46.410000,46.549999,45.808334,2677000
2019-07-24,46.660000,47.369999,46.380001,46.720001,45.975632,2666700
2019-07-25,46.759998,46.910000,45.770000,46.099998,45.365498,5799600
2019-07-26,46.000000,47.689999,45.840000,47.369999,46.615276,4588000
2019-07-29,47.500000,48.439999,46.849998,48.439999,47.668224,3322000
2019-07-30,48.389999,48.939999,47.680000,48.560001,47.786312,6413700
2019-07-31,46.799999,48.000000,46.500000,47.459999,46.703838,12524000
2019-08-01,47.799999,49.660000,47.709999,48.820000,48.042168,8855100
2019-08-02,48.700001,49.849998,48.459999,49.700001,48.908150,5914400
2019-08-05,48.880001,49.169998,48.020000,48.630001,47.855194,3964200
2019-08-06,48.689999,50.790001,48.560001,50.400002,49.596996,7239900
2019-08-07,50.279999,50.349998,49.180000,50.049999,49.252571,5245000
2019-08-08,50.200001,50.650002,49.509998,50.520000,49.715084,3673200
2019-08-09,50.740002,50.980000,50.029999,50.459999,49.656040,2373000
2019-08-12,49.869999,50.060001,49.290001,49.799999,49.006557,2494700
2019-08-13,49.549999,50.459999,49.110001,50.250000,49.449390,2918000
2019-08-14,49.619999,49.750000,48.320000,48.500000,47.727264,5052100
2019-08-15,48.580002,49.150002,47.389999,48.230000,47.461571,5354300
2019-08-16,48.560001,49.560001,47.840000,49.560001,48.770378,3356900
2019-08-19,49.810001,49.959999,48.849998,49.400002,48.612930,3183200
2019-08-20,49.500000,49.520000,48.090000,49.299999,48.514526,3683800
2019-08-21,50.009998,50.189999,49.130001,50.130001,49.331299,2715000
2019-08-22,50.119999,50.160000,48.560001,49.060001,48.278347,5180600
2019-08-23,48.799999,49.020000,47.259998,48.049999,47.284439,4930300
2019-08-26,48.139999,48.330002,46.709999,47.049999,46.300369,2810800
2019-08-27,47.040001,47.950001,46.540001,47.439999,46.684158,6422000
2019-08-28,47.020000,48.740002,46.730000,48.610001,47.835514,2932200
2019-08-29,48.610001,50.310001,48.410000,50.180000,49.380501,4292400
2019-08-30,50.330002,51.150002,50.070000,50.549999,49.744606,4682800
2019-09-02,50.950001,51.240002,50.029999,50.340000,49.537952,1318300
2019-09-03,50.029999,51.450001,49.290001,49.750000,48.957355,2346500
2019-09-04,50.299999,50.520000,49.470001,50.520000,49.715084,2146100
2019-09-05,50.599998,50.980000,49.939999,50.250000,49.449390,3322000
2019-09-06,50.400002,50.630001,49.560001,49.970001,49.173847,1890400
2019-09-09,50.040001,50.110001,48.799999,49.490002,48.701496,4111700
2019-09-10,49.200001,49.450001,48.299999,49.450001,48.662128,3759800
2019-09-11,50.700001,51.029999,50.099998,51.029999,50.216957,4976300
2019-09-12,51.250000,51.830002,50.020000,50.310001,49.508427,3861500
2019-09-13,50.360001,50.360001,48.520000,48.799999,48.022491,4081600
2019-09-16,49.000000,49.330002,48.130001,48.700001,47.924076,4246800
2019-09-17,48.720001,49.590000,48.529999,49.430000,48.642452,4587900
2019-09-18,49.680000,49.840000,48.950001,49.700001,48.908150,2476900
2019-09-19,50.250000,51.349998,50.060001,50.660000,49.852856,4922500
2019-09-20,50.000000,50.560001,49.619999,50.099998,49.301773,6261000
2019-09-23,50.189999,50.250000,49.299999,49.450001,48.662128,1838700
2019-09-24,49.799999,49.799999,48.840000,49.500000,48.711338,2686900
2019-09-25,49.520000,49.520000,48.299999,49.470001,48.759228,3075100
2019-09-26,49.599998,50.139999,49.189999,50.070000,49.350601,2478800
2019-09-27,50.000000,50.680000,49.750000,50.180000,49.459023,2713800
2019-09-30,50.340000,50.689999,49.910000,50.470001,49.744858,3164300
2019-10-01,50.509998,50.680000,49.520000,50.490002,49.764572,2404300
2019-10-02,50.020000,50.230000,48.509998,48.509998,47.813015,2991400
2019-10-03,48.759998,49.110001,47.720001,48.779999,48.079136,2989400
2019-10-04,48.779999,49.400002,48.160000,48.959999,48.256550,4812100
2019-10-07,48.580002,49.400002,47.900002,48.400002,47.704605,3747700
2019-10-08,48.400002,49.070000,47.639999,48.419998,47.724308,3256000
2019-10-09,48.990002,49.150002,48.320000,48.930000,48.226986,3255800
2019-10-10,49.160000,49.400002,48.299999,48.590000,47.891869,2421700
2019-10-11,48.950001,51.169998,48.889999,50.290001,49.567448,5713200
2019-10-14,50.000000,50.840000,49.860001,50.730000,50.001122,2714700
2019-10-15,50.700001,51.410000,50.270000,51.299999,50.562931,2753800
2019-10-16,51.380001,51.830002,50.570000,51.830002,51.085320,4292700
2019-10-17,51.820000,52.580002,51.450001,51.770000,51.026180,2022400
2019-10-18,51.770000,52.150002,51.189999,51.299999,50.562931,3435700
2019-10-21,51.720001,52.090000,51.049999,52.090000,51.341579,1679800
2019-10-22,51.880001,52.720001,51.549999,51.910000,51.164169,2829700
2019-10-23,51.900002,51.900002,50.740002,51.090000,50.355946,3809900
2019-10-24,51.090000,51.230000,49.090000,49.270000,48.562096,11216500
2019-10-25,49.099998,50.500000,49.009998,50.500000,49.774426,8037600
2019-10-28,50.810001,50.849998,49.680000,50.049999,49.330891,3064500
2019-10-29,50.000000,50.209999,49.520000,50.209999,49.488594,2539900
2019-10-30,49.950001,50.279999,49.380001,50.279999,49.557587,6163500
2019-10-31,49.779999,51.000000,49.560001,50.750000,50.020832,3583000
2019-11-01,51.000000,51.669998,50.450001,51.669998,50.927612,3243200
2019-11-04,51.490002,51.840000,50.340000,51.049999,50.316525,2442900
2019-11-05,51.450001,51.450001,49.400002,49.520000,48.808502,6174900
2019-11-06,49.340000,50.419998,49.119999,50.389999,49.666004,3334300
2019-11-07,50.750000,50.799999,49.980000,50.189999,49.468880,4223900
2019-11-08,49.820000,50.080002,48.680000,48.919998,48.217125,5418400
2019-11-11,48.919998,50.549999,48.849998,50.549999,49.823708,3457800
2019-11-12,50.500000,50.500000,49.029999,49.509998,48.798653,4516400
2019-11-13,49.439999,49.439999,48.259998,49.290001,48.581810,5729400
2019-11-14,49.290001,51.700001,49.110001,51.700001,50.957184,4732700
2019-11-18,51.500000,52.320000,50.660000,51.070000,50.336239,3912600
2019-11-19,50.860001,51.330002,50.000000,50.580002,49.853283,2918300
2019-11-21,50.910000,51.790001,50.150002,51.060001,50.326382,4195300
2019-11-22,51.099998,51.570000,50.520000,51.310001,50.572788,4284000
2019-11-25,51.580002,51.740002,50.970001,51.299999,50.562931,2677400
2019-11-26,50.980000,51.009998,49.740002,51.009998,50.277096,6071800
2019-11-27,50.660000,51.220001,50.099998,51.160000,50.424942,3177400
2019-11-28,51.169998,51.770000,50.849998,51.770000,51.026180,1569200
2019-11-29,51.750000,52.000000,51.299999,51.799999,51.055748,2704100
2019-12-02,52.389999,52.669998,51.759998,52.400002,51.647129,3684300
2019-12-03,52.400002,52.639999,51.599998,52.639999,51.883678,2450000
2019-12-04,52.709999,53.360001,52.560001,52.900002,52.139946,3130900
2019-12-05,52.900002,53.099998,52.169998,52.980000,52.218792,2187600
2019-12-06,52.599998,54.270000,52.599998,54.160000,53.381844,4105300
2019-12-09,54.160000,54.160000,52.500000,52.900002,52.139946,4739100
2019-12-10,52.799999,52.959999,52.279999,52.709999,51.952675,2554100
2019-12-11,52.709999,53.439999,52.320000,53.439999,52.672184,3109700
2019-12-12,53.400002,54.060001,53.180000,54.049999,53.273422,3232300
2019-12-13,54.110001,54.599998,53.459999,54.250000,53.470547,3792300
2019-12-16,54.439999,54.590000,53.580002,54.450001,53.667671,4355700
2019-12-17,54.450001,54.759998,53.400002,54.139999,53.362125,5632400
2019-12-18,54.299999,55.099998,53.849998,55.099998,54.308334,7258700
2019-12-19,55.000000,55.770000,54.669998,55.639999,54.840576,3580500
2019-12-20,55.590000,55.709999,54.900002,55.709999,54.909569,5111600
2019-12-23,55.650002,56.400002,55.450001,56.099998,55.293961,2587100
2019-12-26,55.900002,57.080002,55.900002,56.869999,56.130226,2379100
2019-12-27,57.000000,57.099998,56.029999,56.099998,55.370235,3453200
2019-12-30,56.099998,56.689999,55.619999,56.189999,55.459068,3139600
2020-01-02,56.720001,57.619999,56.410000,57.500000,56.752026,2991800
2020-01-03,57.000000,58.200001,56.560001,57.099998,56.357231,4206000
2020-01-06,56.990002,57.720001,56.419998,57.049999,56.307880,3763100
2020-01-07,56.900002,57.150002,56.169998,57.020000,56.278271,3433000
2020-01-08,57.000000,57.490002,56.750000,57.389999,56.643459,4178400
2020-01-09,57.500000,58.000000,56.689999,56.950001,56.209183,3744300
2020-01-10,56.959999,57.980000,56.799999,57.130001,56.386841,5044800
2020-01-13,57.349998,58.369999,57.320000,58.369999,57.610710,3699300
2020-01-14,58.450001,58.650002,56.759998,57.630001,56.880337,5573600
2020-01-15,57.630001,57.709999,56.520000,57.250000,56.505280,4062600
2020-01-16,57.599998,58.150002,56.650002,57.709999,56.959293,2845200
2020-01-17,58.000000,59.220001,57.470001,59.220001,58.449657,3490400
2020-01-20,59.000000,59.810001,58.470001,59.500000,58.726013,3084200
2020-01-21,59.110001,59.490002,58.560001,58.950001,58.183167,4914100
2020-01-22,59.290001,60.240002,59.090000,59.849998,59.071457,2662600
2020-01-23,58.700001,60.869999,58.220001,60.869999,60.078190,3885100
2020-01-24,60.840000,60.900002,60.070000,60.169998,59.387291,2911900
2020-01-27,59.500000,59.500000,58.400002,58.880001,58.114079,3036500
2020-01-28,58.700001,60.250000,58.509998,59.669998,58.893799,2976500
2020-01-29,60.180000,60.490002,59.330002,60.000000,59.219509,2502100
2020-01-30,59.439999,59.470001,57.700001,59.200001,58.429913,5142900
2020-01-31,59.000000,59.020000,56.930000,57.450001,56.702679,8443400
2020-02-03,57.450001,58.250000,57.410000,57.779999,57.028385,3330500
2020-02-04,58.700001,58.700001,56.900002,56.900002,56.159836,8125100
2020-02-05,57.599998,58.099998,56.360001,57.200001,56.455933,14134400
2020-02-06,57.500000,58.000000,55.220001,55.220001,54.501690,8133500
2020-02-07,56.480000,56.820000,55.220001,55.570000,54.847134,8890800
2020-02-10,55.549999,56.189999,53.939999,54.959999,54.245068,6059300
2020-02-11,55.200001,56.759998,54.560001,56.490002,55.755169,4417700
2020-02-12,56.720001,57.709999,55.650002,56.650002,55.913086,6297500
2020-02-13,56.250000,57.500000,55.509998,57.310001,56.564499,3888700
2020-02-14,57.540001,57.540001,55.650002,56.450001,55.715687,3064100
2020-02-17,56.639999,57.299999,56.290001,57.200001,56.455933,1478200
2020-02-18,57.000000,57.250000,56.259998,56.849998,56.110481,3226800
2020-02-19,56.360001,57.049999,56.090000,56.509998,55.774906,2557600
2020-02-20,56.099998,56.770000,55.160000,55.529999,54.807652,3873100
2020-02-21,55.000000,56.279999,54.770000,56.000000,55.271542,3869100
2020-02-26,null,null,null,null,null,null
2020-02-27,51.849998,53.020000,50.520000,51.049999,50.385933,9643100
2020-02-28,50.500000,53.299999,49.040001,53.299999,52.606663,11006100
2020-03-02,53.000000,53.759998,51.700001,53.000000,52.310566,8531700
2020-03-03,52.500000,54.680000,52.180000,53.330002,52.636276,6044400
2020-03-04,54.009998,54.959999,53.130001,54.549999,53.840405,5748900
2020-03-05,53.900002,54.500000,50.520000,51.799999,51.126175,5952900
2020-03-06,49.000000,51.520000,48.000000,50.779999,50.119442,10414000
2020-03-09,48.750000,48.750000,45.130001,46.000000,45.401623,8809000
2020-03-10,48.099998,50.250000,46.369999,50.250000,49.596340,12034500
2020-03-11,48.009998,50.250000,44.090000,47.090000,46.477440,8376300
2020-03-12,40.000000,43.930000,38.360001,43.209999,42.647915,10996100
2020-03-13,51.000000,51.000000,42.230000,46.779999,46.171474,13082700
2020-03-16,39.000000,41.290001,34.490002,36.900002,36.419998,14217700
2020-03-17,38.049999,40.200001,35.860001,38.540001,38.038666,17686700
2020-03-18,34.000000,35.009998,26.320000,32.000000,31.583736,24073800
2020-03-19,29.510000,36.849998,28.750000,36.799999,36.321301,17169500
2020-03-20,37.000000,37.740002,32.650002,34.410000,34.030487,19648800
2020-03-23,33.599998,33.599998,28.840000,30.000000,29.669123,17037500
2020-03-24,33.299999,36.490002,32.779999,32.990002,32.626148,16126700
2020-03-25,32.700001,39.889999,32.700001,36.799999,36.394127,9719300
2020-03-26,35.650002,40.500000,35.139999,38.689999,38.263279,9247200
2020-03-27,36.299999,37.799999,35.520000,36.000000,35.602947,9910700
